"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_02660",1433,993,3194,1844,2325,808,1504,3108,1953,3120,2768
"BFJEKD_02665",3674,1982,7173,4719,6649,1011,2545,5994,7157,8140,6192
"BFJEKD_02670",7645,2585,12453,7996,11078,1335,3277,8901,15771,13217,8533
"BFJEKD_02675",14188,3719,21818,18821,20863,2264,5440,14573,34298,29781,17615
"BFJEKD_02680",1483,559,2621,3449,1699,644,1407,2097,7169,3858,2559
"BFJEKD_02685",666,487,1965,1094,1237,474,1599,1577,1045,1168,1299
"BFJEKD_02690",319,523,1042,400,649,580,1240,1309,200,657,679
"BFJEKD_02695",860,831,798,576,633,1347,1529,1713,775,841,1097
"BFJEKD_02700",3712,1164,468,553,607,613,691,521,2022,455,380
"BFJEKD_02705",1152,1025,11199,3866,8367,726,950,6699,2083,12306,7319
"BFJEKD_02710",123,92,612,398,440,122,125,330,299,1019,510
"BFJEKD_02715",473,284,4075,1682,3278,433,524,1707,1012,3542,1876
"BFJEKD_02720",633,1367,1301,756,1079,1639,1539,2521,473,1290,1346
"BFJEKD_02725",3559,4814,12507,5726,12558,5615,7020,11435,6903,11643,8671
"BFJEKD_02730",977,1664,7086,2903,5801,1201,1840,6579,1893,7695,5892
"BFJEKD_02735",388,371,1639,1205,1459,303,448,1519,1268,3317,1971
"BFJEKD_02740",2667,1820,11768,5168,10700,1185,2273,8218,4961,12463,8891
"BFJEKD_02745",2941,1180,6845,5622,6805,650,1352,3561,8504,10258,5246
"BFJEKD_02750",78,151,167,126,82,179,302,234,307,139,130
"BFJEKD_02755",266,260,417,438,310,303,516,596,1042,380,388
"BFJEKD_02760",273,272,224,281,178,211,279,300,431,247,180
"BFJEKD_02765",1000,635,2567,1777,2072,501,696,1576,2435,2360,1289
"BFJEKD_02770",298,234,375,337,381,872,769,473,767,377,298
"BFJEKD_02775",451,512,1093,992,1256,3230,2863,1183,2381,1727,802
